windrawwin,RowCountTotal,RowCountFiltered,HomeFor,HomeAgainst,AwayAgainst,AwayFor,Total,Odds,pBTTS,pOver2,pWIN,HomeGoals,AwayGoals,HomeWin,AwayWin,RowCountTwoOne,RowCountOneTwo
0-1,82,22,9.0,6.363636363636363,6.681818181818182,7.909090909090909,29.954545454545453,2.216818181818182,0.5309090909090909,0.5163636363636364,0.5731818181818181,2.409090909090909,1.9090909090909092,16.0,6.0,6.0,2.0
0-1 - AW,122,41,6.512195121951219,5.195121951219512,5.414634146341464,8.853658536585366,25.975609756097562,1.734,0.5407317073170732,0.5404878048780488,0.6058536585365853,1.5853658536585367,2.4390243902439024,11.0,30.0,6.0,11.0
0-2,1,1,17.0,4.0,8.0,8.0,37.0,1.91,0.57,0.66,0.66,4.0,1.0,1.0,0.0,,
1-0,139,50,7.7,4.52,6.82,4.3,23.34,1.6724,0.4816,0.49079999999999996,0.6126,2.46,1.66,38.0,12.0,16.0,7.0
1-0 - AW,8,1,6.0,7.0,5.0,9.0,27.0,2.15,0.5,0.53,0.56,1.0,3.0,0.0,1.0,,
1-1,56,16,8.375,5.4375,6.8125,6.4375,27.0625,2.1025,0.52,0.511875,0.5675,2.1875,1.625,10.0,6.0,5.0,2.0
1-1 - AW,172,75,5.4,6.826666666666667,6.173333333333333,8.146666666666667,26.546666666666667,1.9326666666666665,0.5304,0.5494666666666667,0.6065333333333334,1.9066666666666667,2.466666666666667,29.0,46.0,14.0,18.0
1-2,19,5,7.6,8.8,5.8,10.0,32.2,2.13,0.586,0.51,0.45199999999999996,2.8,1.6,4.0,1.0,1.0,1.0
1-2 - AW,120,34,7.029411764705882,7.205882352941177,6.117647058823529,9.794117647058824,30.147058823529413,1.8832352941176471,0.5538235294117647,0.5526470588235294,0.6197058823529412,1.8823529411764706,2.1176470588235294,16.0,18.0,8.0,7.0
1-3,4,1,7.0,9.0,8.0,8.0,32.0,1.7,0.59,0.53,0.4,1.0,3.0,0.0,1.0,,
1-3 - AW,74,24,6.541666666666667,9.708333333333334,5.875,10.375,32.5,1.6291666666666667,0.5599999999999999,0.56875,0.65125,1.5416666666666667,3.0416666666666665,4.0,20.0,1.0,6.0
2-0,456,167,10.652694610778443,4.4431137724550895,7.634730538922156,4.958083832335329,27.688622754491018,1.5770121951219511,0.50874251497006,0.5460479041916168,0.645688622754491,2.4491017964071857,1.6347305389221556,123.0,44.0,54.0,24.0
2-0 - AW,10,2,7.5,2.5,7.0,2.5,19.5,2.3,0.56,0.535,0.425,2.0,1.0,2.0,0.0,2.0,
2-1,94,35,10.4,6.285714285714286,8.285714285714286,6.714285714285714,31.685714285714287,1.9258823529411766,0.5477142857142857,0.554,0.568,2.085714285714286,1.8,20.0,15.0,11.0,7.0
2-1 - AW,5,3,8.0,6.0,9.0,8.666666666666666,31.666666666666668,2.08,0.61,0.5733333333333334,0.49,1.3333333333333333,3.0,0.0,3.0,,1.0
2-2,425,169,9.349112426035504,6.650887573964497,8.568047337278106,7.112426035502959,31.680473372781066,1.97375,0.5467455621301776,0.5397633136094675,0.5513609467455621,2.2485207100591715,1.9349112426035502,101.0,68.0,43.0,34.0
2-2 - AW,130,48,7.354166666666667,7.8125,7.958333333333333,7.791666666666667,30.916666666666668,2.029166666666667,0.593125,0.55125,0.5529166666666666,1.6875,2.2708333333333335,16.0,32.0,11.0,12.0
2-3,12,6,8.833333333333334,9.166666666666666,9.666666666666666,11.0,38.666666666666664,2.11,0.6066666666666667,0.5433333333333333,0.45999999999999996,1.8333333333333333,2.1666666666666665,2.0,4.0,1.0,1.0
2-3 - AW,48,19,8.526315789473685,11.105263157894736,8.842105263157896,11.0,39.473684210526315,1.8457894736842106,0.5905263157894737,0.5563157894736842,0.5721052631578948,1.9473684210526316,2.8421052631578947,6.0,13.0,,2.0
3-0,646,251,10.9402390438247,4.952191235059761,10.278884462151394,5.163346613545817,31.334661354581673,1.5408467741935483,0.5145816733067728,0.5745418326693228,0.6362948207171315,2.6772908366533863,1.5776892430278884,190.0,61.0,73.0,30.0
3-0 - AW,2,2,11.5,8.0,9.5,5.0,34.0,2.325,0.665,0.59,0.49,3.5,1.5,2.0,0.0,1.0,
3-1,154,54,11.685185185185185,6.833333333333333,10.407407407407407,6.648148148148148,35.574074074074076,1.732777777777778,0.5538888888888889,0.5957407407407408,0.5977777777777779,2.5185185185185186,1.6296296296296295,38.0,16.0,16.0,7.0
3-1 - AW,4,3,8.333333333333334,5.0,9.333333333333334,9.333333333333334,32.0,2.25,0.62,0.5533333333333333,0.5133333333333333,1.6666666666666667,1.6666666666666667,2.0,1.0,2.0,
3-2,58,23,11.347826086956522,8.695652173913043,10.869565217391305,7.565217391304348,38.47826086956522,1.6943478260869564,0.5965217391304348,0.6052173913043478,0.5317391304347826,2.3043478260869565,2.0869565217391304,12.0,11.0,3.0,3.0
3-2 - AW,7,1,11.0,11.0,10.0,6.0,38.0,1.25,0.66,0.55,0.41,3.0,2.0,1.0,0.0,,
